cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean,linkage_p_success_p95
student,50,gender,gender,suppress_k,5,500,0.006520000000000001,0.02,0.029920000000000002,0.06099999999999909,5.808,24.0,0.006520000000000001,0.02,0.029920000000000002,0.06099999999999909,2.806,3.0,,
student,50,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,50,gender+age_exact,gender|age_exact,none,5,500,0.15992,0.24,0.7855200000000001,1.0,1.0,1.0,0.15992,0.24,0.7855200000000001,1.0,21.314,25.0,,
student,50,gender+age_exact,gender|age_exact,age_bands,5,500,0.01896,0.04099999999999909,0.07019999999999998,0.16,1.952,5.0,0.01896,0.04099999999999909,0.07019999999999998,0.16,5.142,7.0,,
student,50,gender+age_exact,gender|age_exact,suppress_k,5,500,0.0,0.0,0.0,0.0,8.162,50.0,0.0,0.0,0.0,0.0,2.918,5.0,,
student,50,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.28767017091234354,,,,,,0.28767017091234354,,,,,,,
student,50,gender+age_band+status,gender|age_band|student_status,none,5,500,0.07056,0.12,0.22280000000000005,0.34,1.01,1.0,0.07056,0.12,0.22280000000000005,0.34,9.568,12.0,,
student,50,gender+age_band+status,gender|age_band|student_status,suppress_k,5,500,0.0,0.0,0.0024400000000000003,0.0,7.232,14.0,0.0,0.0,0.0024400000000000003,0.0,4.152,5.0,,
student,50,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,50,gender+age_exact+status,gender|age_exact|student_status,none,5,500,0.29372000000000004,0.42,0.86692,1.0,1.0,1.0,0.29372000000000004,0.42,0.86692,1.0,26.83,31.0,,
student,50,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,500,0.06956,0.12,0.22324000000000002,0.34099999999999914,1.018,1.0,0.06956,0.12,0.22324000000000002,0.34099999999999914,9.504,12.0,,
student,50,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,500,0.0,0.0,0.0,0.0,15.262,50.0,0.0,0.0,0.0,0.0,2.21,4.0,,
student,50,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.12858836658252337,,,,,,0.12858836658252337,,,,,,,
student,50,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,500,0.20528000000000002,0.3,0.63748,0.86,1.0,1.0,0.20528000000000002,0.3,0.63748,0.86,21.098,25.0,,
student,50,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,500,0.0,0.0,0.0,0.0,5.588,7.0,0.0,0.0,0.0,0.0,3.994,6.0,,
student,50,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.2016246211188936,,,,,,0.2016246211188936,,,,,,,
student,100,gender,gender,none,5,500,0.007,0.02,0.02602,0.05,3.742,7.0499999999999545,0.007,0.02,0.02602,0.05,3.51,4.0,,
