cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean
student,30,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.08189216203861269,,,,,,0.08189216203861269,,,,,,
student,30,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,3000,0.30462222222222224,0.4666666666666667,0.8742222222222223,1.0,1.0,1.0,0.30462222222222224,0.4666666666666667,0.8742222222222223,1.0,16.370666666666665,20.0,
student,30,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,3000,0.0,0.0,0.0,0.0,16.099666666666668,30.0,0.0,0.0,0.0,0.0,1.6886666666666668,3.0,
student,30,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.13429258813836892,,,,,,0.13429258813836892,,,,,,
student,50,gender,gender,none,5,3000,0.013833333333333333,0.04,0.029446666666666666,0.08,5.84,24.0,0.013833333333333333,0.04,0.029446666666666666,0.08,3.0323333333333333,4.0,
student,50,gender,gender,suppress_k,5,3000,0.0068066666666666675,0.02,0.02784,0.06,6.273666666666666,24.0,0.0068066666666666675,0.02,0.02784,0.06,2.781,3.0,
student,50,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
student,50,gender+age_exact,gender|age_exact,none,5,3000,0.16067333333333333,0.24,0.7877866666666667,1.0,1.0,1.0,0.16067333333333333,0.24,0.7877866666666667,1.0,21.391333333333332,25.0,
student,50,gender+age_exact,gender|age_exact,age_bands,5,3000,0.01932,0.04,0.06984,0.16,1.8873333333333333,6.0,0.01932,0.04,0.06984,0.16,5.181666666666667,7.0,
student,50,gender+age_exact,gender|age_exact,suppress_k,5,3000,0.0,0.0,0.0,0.0,8.246333333333334,50.0,0.0,0.0,0.0,0.0,2.905666666666667,5.0,
student,50,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.28767017091234354,,,,,,0.28767017091234354,,,,,,
student,50,gender+age_band+status,gender|age_band|student_status,none,5,3000,0.07055333333333333,0.12,0.2228666666666667,0.34,1.019,1.0,0.07055333333333333,0.12,0.2228666666666667,0.34,9.533666666666667,12.0,
student,50,gender+age_band+status,gender|age_band|student_status,suppress_k,5,3000,0.0,0.0,0.0019466666666666669,0.0,7.233,15.0,0.0,0.0,0.0019466666666666669,0.0,4.146333333333334,5.0,
student,50,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
student,50,gender+age_exact+status,gender|age_exact|student_status,none,5,3000,0.29454,0.42,0.8748866666666668,1.0,1.0,1.0,0.29454,0.42,0.8748866666666668,1.0,26.918333333333333,31.0,0.05274666666666667
